Elapsed Time (ms),ECEF X (m),ECEF Y (m),ECEF Z (m),Yaw (deg),Pitch (deg),Roll (deg),Velocity X (m/s),Velocity Y (m/s),Velocity Z (m/s),Accel. X (m/s^2),Accel. Y (m/s^2),Accel. Z (m/s^2),GPS TOW,GPS Week Number
5700,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172805.700,2099
5800,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172805.800,2099
5900,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172805.900,2099
6000,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172806.000,2099
6100,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172806.100,2099
6200,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172806.200,2099
6300,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172806.300,2099
6400,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172806.400,2099
6500,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172806.500,2099
6600,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172806.600,2099
6700,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172806.700,2099
6800,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172806.800,2099
6900,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172806.900,2099
7000,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172807.000,2099
7100,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172807.100,2099
7200,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172807.200,2099
7300,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172807.300,2099
7400,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172807.400,2099
7500,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172807.500,2099
7600,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172807.600,2099
7700,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172807.700,2099
7800,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172807.800,2099
7900,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172807.900,2099
8000,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172808.000,2099
8100,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172808.100,2099
8200,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172808.200,2099
8300,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172808.300,2099
8400,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172808.400,2099
8500,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172808.500,2099
8600,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172808.600,2099
8700,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172808.700,2099
8800,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172808.800,2099
8900,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172808.900,2099
9000,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172809.000,2099
9100,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172809.100,2099
9200,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172809.200,2099
9300,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172809.300,2099
9400,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172809.400,2099
9500,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172809.500,2099
9600,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172809.600,2099
9700,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172809.700,2099
9800,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172809.800,2099
9900,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172809.900,2099
10000,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172810.000,2099
10100,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172810.100,2099
10200,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172810.200,2099
10300,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172810.300,2099
10400,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172810.400,2099
10500,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172810.500,2099
10600,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172810.600,2099
10700,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172810.700,2099
10800,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172810.800,2099
10900,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172810.900,2099
11000,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172811.000,2099
11100,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172811.100,2099
11200,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172811.200,2099
11300,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172811.300,2099
11400,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172811.400,2099
11500,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172811.500,2099
11600,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172811.600,2099
11700,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172811.700,2099
11800,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172811.800,2099
11900,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172811.900,2099
12000,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172812.000,2099
12100,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172812.100,2099
12200,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172812.200,2099
12300,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172812.300,2099
12400,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172812.400,2099
12500,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172812.500,2099
12600,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172812.600,2099
12700,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172812.700,2099
12800,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172812.800,2099
12900,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172812.900,2099
13000,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172813.000,2099
