Elapsed Time (ms),ECEF X (m),ECEF Y (m),ECEF Z (m),ECEF Error X (m),ECEF Error Y (m),ECEF Error Z (m),Body Azimuth (rad),Body Elevation (rad),Range (m),PSR (m),ADR,Clock Correction (s),Clock Noise (m),Delta Af0 (s),Delta Af1 (s/s),Iono Correction (m),Tropo Correction (m),PSR Offset (m),Receiver Antenna Azimuth (rad),Receiver Antenna Elevation (rad),Receiver Antenna Gain (dBi),SV Antenna Azimuth (rad),SV Antenna Elevation (rad),Relative Power Level (incl. Receiver Antenna gain) (dB),Doppler Frequency (Hz),PSR Change Rate (m/s),Receiver Carrier Phase Offset (rad),Satellite Carrier Phase Offset (rad),GPS TOW,GPS Week Number,SBAS t0,Calibration offset (m),PSR satellite time (ms)
500,-21319919.79117,-12301753.31321,10238588.12725,0,0,0,-1.432014006261,0.1945334012381,24685749.75283,24689082.6969334,129741963.654,-1.10630454965e-05,0,0,0,3.958568853278,12.36793256908,0,-1.432014006261,0.1949990870564,-4.761769241113,-1.580392494522,1.334251926468,-2.810296199087,-1902.344000445,362.0040267706,0,0,172800.500,2099,0,0,417.6460846893
600,-21319986.98792,-12301870.6929,10238316.06928,0,0,0,-1.432025114271,0.19452790895,24685785.9533,24689118.8977325,129742153.8902,-1.106304542971e-05,0,0,0,3.958596412924,12.3682585302,0,-1.432025114271,0.1949935577934,-4.761834683652,-1.580399944597,1.33425169654,-2.81038631032,-1902.382801133,362.011410296,0,0,172800.600,2099,0,0,517.6459639364
700,-21320054.18303,-12301988.06967,10238044.00916,0,0,0,-1.432036222207,0.1945224165478,24685822.1545,24689155.0992698,129742344.1303,-1.106304536291e-05,0,0,0,3.958623973349,12.36858451526,0,-1.432036222207,0.1949880284164,-4.761900127539,-1.580407389221,1.334251466614,-2.810476423055,-1902.421592032,362.0187919587,0,0,172800.700,2099,0,0,617.6458431811
800,-21320121.3765,-12302105.44353,10237771.94688,0,0,0,-1.432047330067,0.1945169240315,24685858.35644,24689191.3015453,129742534.3742,-1.106304529611e-05,0,0,0,3.958651534552,12.36891052425,0,-1.432047330067,0.1949824989255,-4.761965572774,-1.580414842994,1.334251236689,-2.81056653729,-1902.460373143,362.0261717588,0,0,172800.800,2099,0,0,717.6457224233
900,-21320188.56833,-12302222.81447,10237499.88245,0,0,0,-1.432058437852,0.1945114314012,24685894.55912,24689227.504559,129742724.6221,-1.10630452293e-05,0,0,0,3.958679096533,12.36923655717,0,-1.432058437852,0.1949769693207,-4.762031019358,-1.580422285618,1.334251006766,-2.810656653026,-1902.499154254,362.0335515589,0,0,172800.900,2099,0,0,817.645601663
1000,-21320255.75853,-12302340.18251,10237227.81586,0,0,0,-1.432069545562,0.1945059386567,24685930.76254,24689263.7083108,129742914.8738,-1.10630451625e-05,0,0,0,3.958706659293,12.36956261404,0,-1.432069545562,0.194971439602,-4.762096467289,-1.580429743786,1.334250776844,-2.810746770263,-1902.53796473,362.0409369469,0,0,172801.000,2099,0,0,917.6454809003
1100,-21320322.94708,-12302457.54762,10236955.74712,0,0,0,-1.432080653197,0.1945004457981,24685966.9667,24689299.9128008,129743105.1294,-1.106304509568e-05,0,0,0,3.958734222832,12.36988869484,0,-1.432080653197,0.1949659097693,-4.762161916569,-1.580437193776,1.334250546924,-2.810836889,-1902.57675563,362.0483186096,0,0,172801.100,2099,0,0,1017.645360135
1200,-21320390.13399,-12302574.90982,10236683.67623,0,0,0,-1.432091760757,0.1944949528254,24686003.17159,24689336.1180289,129743295.3888,-1.106304502886e-05,0,0,0,3.958761787149,12.37021479958,0,-1.432091760757,0.1949603798228,-4.762227367197,-1.580444626553,1.334250317006,-2.810927009238,-1902.615536741,362.0556984097,0,0,172801.200,2099,0,0,1117.645239367
1300,-21320457.31926,-12302692.26911,10236411.60318,0,0,0,-1.432102868242,0.1944894597386,24686039.37722,24689372.3239952,129743485.6522,-1.106304496204e-05,0,0,0,3.958789352244,12.37054092826,0,-1.432102868242,0.1949548497624,-4.762292819173,-1.580452088368,1.33425008709,-2.811017130976,-1902.654317852,362.0630782098,0,0,172801.300,2099,0,0,1217.645118597
1400,-21320524.50289,-12302809.62549,10236139.52797,0,0,0,-1.432113975652,0.1944839665378,24686075.58359,24689408.5306995,129743675.9194,-1.106304489521e-05,0,0,0,3.958816918118,12.37086708089,0,-1.432113975652,0.1949493195881,-4.762358272497,-1.580459534251,1.334249857176,-2.811107254214,-1902.693098963,362.0704580098,0,0,172801.400,2099,0,0,1317.644997825
1500,-21320591.68488,-12302926.97895,10235867.45062,0,0,0,-1.432125082987,0.1944784732229,24686111.7907,24689444.7381418,129743866.1905,-1.106304482838e-05,0,0,0,3.95884448477,12.37119325747,0,-1.432125082987,0.1949437892999,-4.762423727168,-1.580466983791,1.334249627263,-2.811197378953,-1902.731880075,362.0778378099,0,0,172801.500,2099,0,0,1417.64487705
1600,-21320658.86524,-12303044.3295,10235595.3711,0,0,0,-1.432136190247,0.1944729797938,24686147.99855,24689480.9463222,129744056.4655,-1.106304476155e-05,0,0,0,3.958872052201,12.371519458,0,-1.432136190247,0.1949382588978,-4.762489183188,-1.580474436875,1.334249397351,-2.811287505192,-1902.770670974,362.0852194726,0,0,172801.600,2099,0,0,1517.644756272
1700,-21320726.04395,-12303161.67713,10235323.28944,0,0,0,-1.432147297431,0.1944674862508,24686184.20713,24689517.1552407,129744246.7444,-1.106304469471e-05,0,0,0,3.95889962041,12.37184568248,0,-1.432147297431,0.1949327283818,-4.762554640556,-1.580481870862,1.334249167442,-2.81137763293,-1902.809442297,362.0925974101,0,0,172801.700,2099,0,0,1617.644635492
1800,-21320793.22102,-12303279.02185,10235051.20562,0,0,0,-1.432158404541,0.1944619925936,24686220.41646,24689553.3648971,129744437.0271,-1.106304462787e-05,0,0,0,3.958927189397,12.37217193091,0,-1.432158404541,0.194927197752,-4.762620099271,-1.580489330755,1.334248937534,-2.811467762168,-1902.848252773,362.0999827981,0,0,172801.800,2099,0,0,1717.64451471
1900,-21320860.39645,-12303396.36365,10234779.11965,0,0,0,-1.432169511575,0.1944564988224,24686256.62652,24689589.5752916,129744627.3137,-1.106304456102e-05,0,0,0,3.958954759163,12.3724982033,0,-1.432169511575,0.1949216670083,-4.762685559334,-1.580496776284,1.334248707628,-2.811557892907,-1902.886994731,362.1073551476,0,0,172801.900,2099,0,0,1817.644393925
2000,-21320927.57023,-12303513.70254,10234507.03152,0,0,0,-1.432180618534,0.1944510049371,24686292.83732,24689625.786424,129744817.6042,-1.106304449417e-05,0,0,0,3.958982329707,12.37282449965,0,-1.432180618534,0.1949161361507,-4.762751020745,-1.580504224617,1.334248477724,-2.811648025145,-1902.925775842,362.1147349477,0,0,172802.000,2099,0,0,1917.644273138
2100,-21320994.74238,-12303631.03852,10234234.94124,0,0,0,-1.432191725419,0.1944455109378,24686329.04885,24689661.9982944,129745007.8986,-1.106304442731e-05,0,0,0,3.95900990103,12.37315081996,0,-1.432191725419,0.1949106051792,-4.762816483504,-1.580511677604,1.334248247821,-2.811738158883,-1902.964566742,362.1221166104,0,0,172802.100,2099,0,0,2017.644152348
2200,-21321061.91289,-12303748.37159,10233962.84881,0,0,0,-1.432202832228,0.1944400168244,24686365.26113,24689698.2109027,129745198.1968,-1.106304436045e-05,0,0,0,3.959037473131,12.37347716424,0,-1.432202832228,0.1949050740939,-4.76288194761,-1.580519110656,1.33424801792,-2.81182829412,-1903.003367429,362.1295001358,0,0,172802.200,2099,0,0,2117.644031556
2300,-21321129.08176,-12303865.70174,10233690.75422,0,0,0,-1.432213938962,0.194434522597,24686401.47414,24689734.4242489,129745388.499,-1.106304429358e-05,0,0,0,3.95906504601,12.37380353247,0,-1.432213938962,0.1948995428947,-4.762947413064,-1.580526569597,1.334247788021,-2.811918430857,-1903.042138752,362.1368780732,0,0,172802.300,2099,0,0,2217.643910761
2400,-21321196.24898,-12303983.02897,10233418.65748,0,0,0,-1.432225045621,0.1944290282555,24686437.68789,24689770.6383331,129745578.805,-1.106304422672e-05,0,0,0,3.959092619668,12.37412992468,0,-1.432225045621,0.1948940115817,-4.763012879865,-1.580534016968,1.334247558124,-2.812008569093,-1903.080890499,362.1442522854,0,0,172802.400,2099,0,0,2317.643789964
2500,-21321263.41457,-12304100.35329,10233146.55859,0,0,0,-1.432236152205,0.1944235338,24686473.90238,24689806.8531551,129745769.1149,-1.106304415984e-05,0,0,0,3.959120194104,12.37445634085,0,-1.432236152205,0.1948884801548,-4.763078348014,-1.580541472974,1.334247328228,-2.812098708829,-1903.119700975,362.1516376734,0,0,172802.500,2099,0,0,2417.643669164
2600,-21321330.57852,-12304217.6747,10232874.45755,0,0,0,-1.432247258714,0.1944180392304,24686510.1176,24689843.068715,129745959.4286,-1.106304409296e-05,0,0,0,3.959147769319,12.374782781,0,-1.432247258714,0.1948829486141,-4.76314381751,-1.580548914578,1.334247098334,-2.812188850064,-1903.158433144,362.1590081602,0,0,172802.600,2099,0,0,2517.643548362
2700,-21321397.74082,-12304334.9932,10232602.35435,0,0,0,-1.432258365147,0.1944125445468,24686546.33357,24689879.2850127,129746149.7463,-1.106304402608e-05,0,0,0,3.959175345311,12.37510924512,0,-1.432258365147,0.1948774169595,-4.763209288354,-1.580556344426,1.334246868442,-2.812278992798,-1903.197233832,362.1663916856,0,0,172802.700,2099,0,0,2617.643427557
2800,-21321464.90148,-12304452.30878,10232330.24899,0,0,0,-1.432269471506,0.1944070497492,24686582.55027,24689915.5020483,129746340.0678,-1.10630439592e-05,0,0,0,3.959202922083,12.37543573321,0,-1.432269471506,0.1948718851911,-4.763274760545,-1.580563804503,1.334246638551,-2.812369137031,-1903.236024732,362.1737733483,0,0,172802.800,2099,0,0,2717.64330675
2900,-21321532.0605,-12304569.62144,10232058.14149,0,0,0,-1.43228057779,0.1944015548375,24686618.76771,24689951.7198216,129746530.3932,-1.106304389231e-05,0,0,0,3.959230499632,12.37576224529,0,-1.43228057779,0.1948663533089,-4.763340234084,-1.580571251902,1.334246408662,-2.812459282763,-1903.27476669,362.1811456978,0,0,172802.900,2099,0,0,2817.643185941
3000,-21321599.21789,-12304686.9312,10231786.03183,0,0,0,-1.432291683998,0.1943960598118,24686654.98588,24689987.9383328,129746720.7224,-1.106304382541e-05,0,0,0,3.95925807796,12.37608878134,0,-1.432291683998,0.1948608213128,-4.763405708969,-1.580578706029,1.334246178775,-2.812549429994,-1903.313547801,362.1885254979,0,0,172803.000,2099,0,0,2917.643065129
3100,-21321666.37363,-12304804.23804,10231513.92002,0,0,0,-1.432302790131,0.1943905646721,24686691.2048,24690024.1575817,129746911.0556,-1.106304375851e-05,0,0,0,3.959285657066,12.37641534138,0,-1.432302790131,0.1948552892029,-4.763471185202,-1.580586141319,1.33424594889,-2.812639578724,-1903.352319124,362.1959034353,0,0,172803.100,2099,0,0,3017.642944315
3200,-21321733.52772,-12304921.54196,10231241.80605,0,0,0,-1.43231389619,0.1943850694184,24686727.42445,24690060.3775684,129747101.3926,-1.106304369161e-05,0,0,0,3.959313236951,12.3767419254,0,-1.43231389619,0.1948497569791,-4.763536662783,-1.580593576193,1.334245719006,-2.812729728953,-1903.391080658,362.2032795101,0,0,172803.200,2099,0,0,3117.642823498
3300,-21321800.68018,-12305038.84297,10230969.68993,0,0,0,-1.432325002173,0.1943795740506,24686763.64484,24690096.5982928,129747291.7335,-1.10630436247e-05,0,0,0,3.959340817614,12.37706853341,0,-1.432325002173,0.1948442246416,-4.76360214171,-1.580601036562,1.334245489124,-2.81281988068,-1903.429871558,362.2106611729,0,0,172803.300,2099,0,0,3217.642702678
3400,-21321867.831,-12305156.14107,10230697.57166,0,0,0,-1.432336108081,0.1943740785689,24686799.86597,24690132.8197549,129747482.0783,-1.106304355779e-05,0,0,0,3.959368399055,12.3773951654,0,-1.432336108081,0.1948386921902,-4.763667621985,-1.580608481367,1.334245259244,-2.812910033906,-1903.468623304,362.218035385,0,0,172803.400,2099,0,0,3317.642581857
3500,-21321934.98017,-12305273.43625,10230425.45124,0,0,0,-1.432347213914,0.1943685829731,24686836.08784,24690169.0419547,129747672.4269,-1.106304349087e-05,0,0,0,3.959395981275,12.37772182139,0,-1.432347213914,0.194833159625,-4.763733103606,-1.580615937657,1.334245029365,-2.813000188631,-1903.507355474,362.2254058719,0,0,172803.500,2099,0,0,3417.642461032
3600,-21322002.12771,-12305390.72852,10230153.32866,0,0,0,-1.432358319672,0.1943630872634,24686872.31044,24690205.2648922,129747862.7795,-1.106304342395e-05,0,0,0,3.959423564273,12.37804850137,0,-1.432358319672,0.194827626946,-4.763798586575,-1.580623363092,1.334244799488,-2.813090344853,-1903.546175738,362.2327931225,0,0,172803.600,2099,0,0,3517.642340206
3700,-21322069.2736,-12305508.01788,10229881.20393,0,0,0,-1.432369425355,0.1943575914396,24686908.53378,24690241.4885674,129748053.1359,-1.106304335703e-05,0,0,0,3.959451148049,12.37837520535,0,-1.432369425355,0.1948220941532,-4.76386407089,-1.580630799176,1.334244569613,-2.813180502574,-1903.584868755,362.2401561588,0,0,172803.700,2099,0,0,3617.642219376
3800,-21322136.41785,-12305625.30432,10229609.07705,0,0,0,-1.432380530963,0.1943520955019,24686944.75786,24690277.7129802,129748243.4962,-1.10630432901e-05,0,0,0,3.959478732604,12.37870193333,0,-1.432380530963,0.1948165612465,-4.763929556553,-1.580638262323,1.33424433974,-2.813270661794,-1903.623689019,362.2475434095,0,0,172803.800,2099,0,0,3717.642098545
3900,-21322203.56046,-12305742.58785,10229336.94802,0,0,0,-1.432391636495,0.1943465994501,24686980.98267,24690313.9381306,129748433.8603,-1.106304322317e-05,0,0,0,3.959506317937,12.3790286853,0,-1.432391636495,0.1948110282261,-4.763995043562,-1.580645706722,1.334244109868,-2.813360822512,-1903.662421189,362.2549138963,0,0,172803.900,2099,0,0,3817.641977711
4000,-21322270.70143,-12305859.86847,10229064.81683,0,0,0,-1.432402741953,0.1943411032844,24687017.20823,24690350.1640186,129748624.2284,-1.106304315623e-05,0,0,0,3.959533904048,12.37935546128,0,-1.432402741953,0.1948054950919,-4.764060531919,-1.580653162532,1.334243879998,-2.813450984727,-1903.701212089,362.262295559,0,0,172804.000,2099,0,0,3917.641856874
4100,-21322337.84075,-12305977.14617,10228792.68349,0,0,0,-1.432413847336,0.1943356070047,24687053.43452,24690386.3906443,129748814.6003,-1.106304308929e-05,0,0,0,3.959561490937,12.37968226126,0,-1.432413847336,0.1947999618439,-4.764126021622,-1.580660586492,1.33424365013,-2.813541148441,-1903.739944258,362.2696660459,0,0,172804.100,2099,0,0,4017.641736035
4200,-21322404.97844,-12306094.42096,10228520.548,0,0,0,-1.432424952643,0.194330110611,24687089.66155,24690422.6180075,129749004.9761,-1.106304302234e-05,0,0,0,3.959589078605,12.38000908524,0,-1.432424952643,0.1947944284821,-4.764191512672,-1.580668022599,1.334243420263,-2.813631313653,-1903.778676428,362.2770365328,0,0,172804.200,2099,0,0,4117.641615194
4300,-21322472.11448,-12306211.69283,10228248.41036,0,0,0,-1.432436057875,0.1943246141033,24687125.88932,24690458.8461082,129749195.3557,-1.106304295539e-05,0,0,0,3.959616667051,12.38033593324,0,-1.432436057875,0.1947888950065,-4.764257005068,-1.580675484018,1.334243190399,-2.813721480362,-1903.817477116,362.2844200581,0,0,172804.300,2099,0,0,4217.64149435
4400,-21322539.24888,-12306328.96179,10227976.27057,0,0,0,-1.432447163032,0.1943191174817,24687162.11782,24690495.0749465,129749385.7393,-1.106304288844e-05,0,0,0,3.959644256275,12.38066280525,0,-1.432447163032,0.1947833614172,-4.764322498812,-1.580682928345,1.334242960536,-2.813811648569,-1903.856238651,362.2917961329,0,0,172804.400,2099,0,0,4317.641373503
4500,-21322606.38164,-12306446.22784,10227704.12862,0,0,0,-1.432458268115,0.194313620746,24687198.34706,24690531.3045222,129749576.1267,-1.106304282148e-05,0,0,0,3.959671846278,12.38098970127,0,-1.432458268115,0.194777827714,-4.764387993902,-1.580690384881,1.334242730674,-2.813901818274,-1903.89502955,362.2991777956,0,0,172804.500,2099,0,0,4417.641252654
4600,-21322673.51276,-12306563.49097,10227431.98452,0,0,0,-1.432469373122,0.1943081238965,24687234.57704,24690567.5348355,129749766.518,-1.106304275452e-05,0,0,0,3.959699437059,12.3813166213,0,-1.432469373122,0.1947722938971,-4.764453490338,-1.580697811072,1.334242500815,-2.813991989476,-1903.933751932,362.3065464199,0,0,172804.600,2099,0,0,4517.641131803
4700,-21322740.64224,-12306680.75119,10227159.83827,0,0,0,-1.432480478054,0.1943026269329,24687270.80776,24690603.7658863,129749956.9131,-1.106304268755e-05,0,0,0,3.959727028618,12.38164356535,0,-1.432480478054,0.1947667599664,-4.764518988121,-1.58070524462,1.334242270957,-2.814082162176,-1903.972503678,362.313920632,0,0,172804.700,2099,0,0,4617.641010949
4800,-21322807.77007,-12306798.00849,10226887.68986,0,0,0,-1.43249158291,0.1942971298554,24687307.03921,24690639.9976745,129750147.3122,-1.106304262058e-05,0,0,0,3.959754620955,12.38197053342,0,-1.43249158291,0.194761225922,-4.764584487251,-1.580712703797,1.334242041101,-2.814172336374,-1904.011245636,362.3212929815,0,0,172804.800,2099,0,0,4717.640890093
4900,-21322874.89626,-12306915.26289,10226615.53931,0,0,0,-1.432502687692,0.194291632664,24687343.2714,24690676.2302001,129750337.7151,-1.10630425536e-05,0,0,0,3.959782214071,12.38229752552,0,-1.432502687692,0.1947556917637,-4.764649987727,-1.580720154757,1.334241811247,-2.814262512068,-1904.04995823,362.3286597431,0,0,172804.900,2099,0,0,4817.640769234
5000,-21322942.02081,-12307032.51436,10226343.3866,0,0,0,-1.432513792399,0.1942861353586,24687379.50433,24690712.4634632,129750528.1219,-1.106304248662e-05,0,0,0,3.959809807965,12.38262454163,0,-1.432513792399,0.1947501574918,-4.764715489549,-1.580727602127,1.334241581394,-2.81435268926,-1904.088807859,362.3360525817,0,0,172805.000,2099,0,0,4917.640648373
5100,-21323009.14372,-12307149.76293,10226071.23174,0,0,0,-1.432524897031,0.1942806379392,24687415.73799,24690748.6974637,129750718.5326,-1.106304241964e-05,0,0,0,3.959837402637,12.38295158178,0,-1.432524897031,0.194744623106,-4.764780992718,-1.580735027531,1.334241351543,-2.814442867949,-1904.127510664,362.3434174806,0,0,172805.100,2099,0,0,5017.64052751
5200,-21323076.26498,-12307267.00858,10225799.07473,0,0,0,-1.432536001587,0.1942751404059,24687451.9724,24690784.9322015,129750908.9471,-1.106304235265e-05,0,0,0,3.959864998087,12.38327864595,0,-1.432536001587,0.1947390886065,-4.764846497233,-1.580742460166,1.334241121694,-2.814533048135,-1904.166272198,362.3507935554,0,0,172805.200,2099,0,0,5117.640406644
