Elapsed Time (ms),ECEF X (m),ECEF Y (m),ECEF Z (m),ECEF Error X (m),ECEF Error Y (m),ECEF Error Z (m),Body Azimuth (rad),Body Elevation (rad),Range (m),PSR (m),ADR,Clock Correction (s),Clock Noise (m),Delta Af0 (s),Delta Af1 (s/s),Iono Correction (m),Tropo Correction (m),PSR Offset (m),Receiver Antenna Azimuth (rad),Receiver Antenna Elevation (rad),Receiver Antenna Gain (dBi),SV Antenna Azimuth (rad),SV Antenna Elevation (rad),Relative Power Level (incl. Receiver Antenna gain) (dB),Doppler Frequency (Hz),PSR Change Rate (m/s),Receiver Carrier Phase Offset (rad),Satellite Carrier Phase Offset (rad),GPS TOW,GPS Week Number,SBAS t0,Calibration offset (m),PSR satellite time (ms)
500,5566691.045093,-14484457.81378,21259394.07415,0,0,0,0.2590024722537,1.354107487565,20065919.17997,20119479.6852112,105728563.3564,-0.0001786451248132,0,0,0,1.522215166601,2.521945115027,0,0.2590024722537,1.357355569502,4.388537271553,1.534999428556,1.518759731653,6.576001999427,88.55750916574,-16.85193367302,0,0,172800.500,2099,0,0,432.8886396294
600,5566967.296941,-14484466.35307,21259316.94777,0,0,0,0.2590690613717,1.354109895688,20065917.49526,20119478.0004294,105728554.5028,-0.0001786451246062,0,0,0,1.522214626342,2.521943787622,0,0.2590690613717,1.357357921206,4.388544008689,1.535058209344,1.51876030303,6.576011421763,88.51417651072,-16.84368774295,0,0,172800.600,2099,0,0,532.8886452493
700,5567243.547744,-14484474.89398,21259239.81674,0,0,0,0.2591356518615,1.354112303098,20065915.81136,20119476.3164725,105728545.6536,-0.0001786451243992,0,0,0,1.522214086252,2.521942460626,0,0.2591356518615,1.357360272183,4.38855074374,1.535116997732,1.518760874239,6.57602084108,88.47084385571,-16.83544181287,0,0,172800.700,2099,0,0,632.8886508664
800,5567519.797502,-14484483.43653,21259162.68106,0,0,0,0.2592022437225,1.354114709797,20065914.12829,20119474.6333404,105728536.8086,-0.0001786451241922,0,0,0,1.522213546331,2.521941134038,0,0.2592022437225,1.357362622431,4.388557476705,1.535175780155,1.518761445279,6.576030257379,88.42749162415,-16.82719215751,0,0,172800.800,2099,0,0,732.8886564807
900,5567796.046215,-14484491.98071,21259085.54074,0,0,0,0.2592688369546,1.354117115782,20065912.44605,20119472.9510331,105728527.9681,-0.0001786451239852,0,0,0,1.522213006577,2.52193980786,0,0.2592688369546,1.357364971951,4.388564207585,1.535234567203,1.518762016151,6.57603967066,88.38412960434,-16.8189406395,0,0,172800.900,2099,0,0,832.8886620922
1000,5568072.293881,-14484500.52653,21259008.39576,0,0,0,0.2593354315572,1.354119521055,20065910.76463,20119471.2695507,105728519.1318,-0.0001786451237781,0,0,0,1.522212466992,2.52193848209,0,0.2593354315572,1.357367320743,4.388570936379,1.535293361317,1.518762586855,6.576049080923,88.34082631412,-16.81070029736,0,0,172801.000,2099,0,0,932.8886677011
1100,5568348.540503,-14484509.07398,21258931.24614,0,0,0,0.2594020275301,1.354121925615,20065909.08404,20119469.588893,105728510.2999,-0.0001786451235711,0,0,0,1.522211927575,2.521937156729,0,0.2594020275301,1.357369668808,4.388577663088,1.53535215161,1.51876315739,6.576058488167,88.29744471777,-16.80244505405,0,0,172801.100,2099,0,0,1032.888673307
1200,5568624.786078,-14484517.62306,21258854.09188,0,0,0,0.2594686248729,1.354124329463,20065907.40427,20119467.9090602,105728501.4723,-0.0001786451233641,0,0,0,1.522211388326,2.521935831776,0,0.2594686248729,1.357372016144,4.388584387711,1.535410944607,1.518763727758,6.576067892392,88.25411206275,-16.79419912398,0,0,172801.200,2099,0,0,1132.88867891
1300,5568901.030608,-14484526.17378,21258776.93296,0,0,0,0.2595352235853,1.354126732597,20065905.72533,20119466.2300522,105728492.6491,-0.0001786451231571,0,0,0,1.522210849245,2.521934507233,0,0.2595352235853,1.357374362752,4.388591110248,1.535469735421,1.518764297957,6.576077293598,88.21075004293,-16.78594760597,0,0,172801.300,2099,0,0,1232.888684511
1400,5569177.274093,-14484534.72613,21258699.7694,0,0,0,0.2596018236668,1.354129135019,20065904.04721,20119464.5518691,105728483.8302,-0.0001786451229501,0,0,0,1.522210310332,2.521933183098,0,0.2596018236668,1.357376708632,4.3885978307,1.535528531138,1.518764867988,6.576086691786,88.16742717618,-16.77770353854,0,0,172801.400,2099,0,0,1332.888690109
1500,5569453.516531,-14484543.28011,21258622.60119,0,0,0,0.2596684251172,1.354131536729,20065902.36991,20119462.8745108,105728475.0156,-0.000178645122743,0,0,0,1.522209771588,2.521931859372,0,0.2596684251172,1.357379053784,4.388604549065,1.535587327117,1.51876543785,6.576096086954,88.12406515636,-16.76945202053,0,0,172801.500,2099,0,0,1432.888695704
1600,5569729.757923,-14484551.83572,21258545.42833,0,0,0,0.2597350279361,1.354133937725,20065900.69344,20119461.1979773,105728466.2054,-0.000178645122536,0,0,0,1.522209233012,2.521930536055,0,0.2597350279361,1.357381398208,4.388611265345,1.535646127232,1.518766007544,6.576105479104,88.08075207787,-16.76120981574,0,0,172801.600,2099,0,0,1532.888701296
1700,5570005.99827,-14484560.39297,21258468.25083,0,0,0,0.2598016321231,1.354136338009,20065899.0178,20119459.5222687,105728457.3995,-0.000178645122329,0,0,0,1.522208694604,2.521929213147,0,0.2598016321231,1.357383741904,4.388617979539,1.535704927958,1.51876657707,6.576114868234,88.03737048152,-16.75295457244,0,0,172801.700,2099,0,0,1632.888706886
1800,5570282.23757,-14484568.95185,21258391.06868,0,0,0,0.2598682376779,1.35413873758,20065897.34298,20119457.8473849,105728448.5979,-0.000178645122122,0,0,0,1.522208156365,2.521927890647,0,0.2598682376779,1.357386084871,4.388624691646,1.535763722573,1.518767146428,6.576124254345,87.9940378265,-16.74470864236,0,0,172801.800,2099,0,0,1732.888712473
