Elapsed Time (ms),ECEF X (m),ECEF Y (m),ECEF Z (m),ECEF Error X (m),ECEF Error Y (m),ECEF Error Z (m),Body Azimuth (rad),Body Elevation (rad),Range (m),PSR (m),ADR,Clock Correction (s),Clock Noise (m),Delta Af0 (s),Delta Af1 (s/s),Iono Correction (m),Tropo Correction (m),PSR Offset (m),Receiver Antenna Azimuth (rad),Receiver Antenna Elevation (rad),Receiver Antenna Gain (dBi),SV Antenna Azimuth (rad),SV Antenna Elevation (rad),Relative Power Level (incl. Receiver Antenna gain) (dB),Doppler Frequency (Hz),PSR Change Rate (m/s),Receiver Carrier Phase Offset (rad),Satellite Carrier Phase Offset (rad),GPS TOW,GPS Week Number,SBAS t0,Calibration offset (m),PSR satellite time (ms)
500,-14322892.02106,-3950513.632093,21771410.70574,0,0,0,-0.7574669773671,0.3816930184792,23315269.49407,23274868.8921112,122310228.617,0.0001347942307131,0,0,0,3.133886109309,6.557908081991,0,-0.7574669773671,0.3841342462338,-2.671143020704,-0.3859827795342,1.344682627703,0.2507116198267,3103.456797163,-590.5681923032,0,0,172800.500,2099,0,0,422.3633941715
600,-14322774.73827,-3950769.751597,21771442.66963,0,0,0,-0.7574712817106,0.3817042316817,23315210.43757,23274809.8355964,122309918.2734,0.0001347942300245,0,0,0,3.133843254539,6.557728068061,0,-0.7574712817106,0.3841454495484,-2.671044121847,-0.385991243424,1.344683672342,0.2508693019579,3103.420306506,-590.5612483621,0,0,172800.600,2099,0,0,522.3635911628
700,-14322657.45685,-3951025.872161,21771474.62877,0,0,0,-0.7574755862898,0.3817154448453,23315151.38176,23274750.7797755,122309607.9334,0.0001347942293358,0,0,0,3.133800400667,6.557548065377,0,-0.7574755862898,0.3841566528235,-2.670945223338,-0.3859997052881,1.344684717005,0.2510269844306,3103.383855002,-590.5543118715,0,0,172800.700,2099,0,0,622.3637881518
800,-14322540.17682,-3951281.993786,21771506.58318,0,0,0,-0.7574798911049,0.3817266579699,23315092.32665,23274691.7246484,122309297.5971,0.0001347942286471,0,0,0,3.133757547693,6.557368073938,0,-0.7574798911049,0.3841678560589,-2.67084632518,-0.3860081702642,1.344685761695,0.2511846672446,3103.347383922,-590.5473716557,0,0,172800.800,2099,0,0,722.3639851385
900,-14322422.89816,-3951538.116471,21771538.53284,0,0,0,-0.7574841961559,0.3817378710555,23315033.27224,23274632.6702151,122308987.2644,0.0001347942279584,0,0,0,3.133714695617,6.557188093742,0,-0.7574841961559,0.3841790592549,-2.67074742737,-0.3860166323253,1.344686806409,0.2513423503997,3103.310932418,-590.5404351652,0,0,172800.900,2099,0,0,822.3641821229
1000,-14322305.62089,-3951794.240218,21771570.47777,0,0,0,-0.7574885014426,0.3817490841022,23314974.21851,23274573.6164758,122308676.9353,0.0001347942272698,0,0,0,3.133671844439,6.557008124789,0,-0.7574885014426,0.3841902624112,-2.67064852991,-0.386025097984,1.344687851149,0.251500033896,3103.274480914,-590.5334986746,0,0,172801.000,2099,0,0,922.364379105
1100,-14322188.345,-3952050.365024,21771602.41796,0,0,0,-0.7574928069652,0.3817602971098,23314915.16548,23274514.5634304,122308366.6099,0.0001347942265811,0,0,0,3.133628994158,6.556828167078,0,-0.7574928069652,0.3842014655279,-2.670549632799,-0.3860335624926,1.344688895914,0.2516577177335,3103.238000046,-590.5265565962,0,0,172801.100,2099,0,0,1022.364576085
1200,-14322071.07048,-3952306.490892,21771634.35341,0,0,0,-0.7574971127237,0.3817715100784,23314856.11315,23274455.5110789,122308056.2882,0.0001347942258924,0,0,0,3.133586144775,6.556648220607,0,-0.7574971127237,0.3842126686051,-2.670450736038,-0.3860420262246,1.344689940705,0.251815401912,3103.201509389,-590.519612655,0,0,172801.200,2099,0,0,1122.364773062
1300,-14321953.79735,-3952562.617819,21771666.28413,0,0,0,-0.757501418718,0.381782723008,23314797.06151,23274396.4594213,122307745.9701,0.0001347942252037,0,0,0,3.133543296291,6.556468285376,0,-0.757501418718,0.3842238716427,-2.670351839626,-0.3860504896614,1.344690985521,0.2519730864314,3103.16508725,-590.5126817524,0,0,172801.300,2099,0,0,1222.364970037
1400,-14321836.5256,-3952818.745807,21771698.2101,0,0,0,-0.7575057249481,0.3817939358986,23314738.01056,23274337.4084577,122307435.6556,0.0001347942245151,0,0,0,3.133500448704,6.556288361384,0,-0.7575057249481,0.3842350746406,-2.670252943564,-0.3860589538229,1.344692030362,0.2521307712917,3103.128606381,-590.505739674,0,0,172801.400,2099,0,0,1322.36516701
1500,-14321719.25522,-3953074.874856,21771730.13133,0,0,0,-0.7575100314141,0.3818051487502,23314678.96031,23274278.3581881,122307125.3448,0.0001347942238264,0,0,0,3.133457602015,6.55610844863,0,-0.7575100314141,0.384246277599,-2.670154047852,-0.3860674187847,1.344693075229,0.2522884564929,3103.092125513,-590.4987975955,0,0,172801.500,2099,0,0,1422.365363981
