Elapsed Time (ms),ECEF X (m),ECEF Y (m),ECEF Z (m),ECEF Error X (m),ECEF Error Y (m),ECEF Error Z (m),Body Azimuth (rad),Body Elevation (rad),Range (m),PSR (m),ADR,Clock Correction (s),Clock Noise (m),Delta Af0 (s),Delta Af1 (s/s),Iono Correction (m),Tropo Correction (m),PSR Offset (m),Receiver Antenna Azimuth (rad),Receiver Antenna Elevation (rad),Receiver Antenna Gain (dBi),SV Antenna Azimuth (rad),SV Antenna Elevation (rad),Relative Power Level (incl. Receiver Antenna gain) (dB),Doppler Frequency (Hz),PSR Change Rate (m/s),Receiver Carrier Phase Offset (rad),Satellite Carrier Phase Offset (rad),GPS TOW,GPS Week Number,SBAS t0,Calibration offset (m),PSR satellite time (ms)
500,-2590407.293359,-20763243.50648,16388515.56914,0,0,0,-1.788957003187,1.134154662161,20671469.41278,20744175.0086067,109011358.4659,-0.0002425053142605,0,0,0,1.61469958895,2.716885610076,0,-1.788957003187,1.133439301188,3.784899071349,0.2908161693179,1.46930632138,6.107918496762,1222.100073039,-232.5579114258,0,0,172800.500,2099,0,0,430.8048803262
600,-2590265.694969,-20763091.98693,16388731.05211,0,0,0,-1.788936293817,1.134166044218,20671446.15718,20744151.7532167,109011236.258,-0.0002425053150464,0,0,0,1.614692145026,2.716871246041,0,-1.788936293817,1.133450751594,3.784928134806,0.2908314490485,1.469308807869,6.107899676844,1222.05716128,-232.5497455895,0,0,172800.600,2099,0,0,530.8049578979
700,-2590124.093956,-20762940.46615,16388946.5316,0,0,0,-1.788915583698,1.134177426178,20671422.90239,20744128.4986427,109011114.0545,-0.0002425053158323,0,0,0,1.614684701484,2.71685688263,0,-1.788915583698,1.133462201908,3.784957198027,0.2908467383491,1.46931129435,6.107880856555,1222.014278885,-232.5415853411,0,0,172800.700,2099,0,0,630.8050354668
800,-2589982.490322,-20762788.94413,16389162.0076,0,0,0,-1.788894872831,1.134188808043,20671399.64842,20744105.2448847,109010991.8553,-0.0002425053166182,0,0,0,1.614677258323,2.716842519844,0,-1.788894872831,1.133473652129,3.784986261012,0.2908620293606,1.469313780822,6.107862035895,1221.971367126,-232.5334195048,0,0,172800.800,2099,0,0,730.8051130329
900,-2589840.884066,-20762637.42087,16389377.48013,0,0,0,-1.788874161214,1.134200189812,20671376.39526,20744081.9919427,109010869.6603,-0.000242505317404,0,0,0,1.614669815545,2.71682815768,0,-1.788874161214,1.133485102256,3.785015323761,0.290877317206,1.469316267286,6.107843214864,1221.928533672,-232.5252685696,0,0,172800.900,2099,0,0,830.8051905964
1000,-2589699.275188,-20762485.89637,16389592.94918,0,0,0,-1.78885344885,1.134211571485,20671353.14292,20744058.7398167,109010747.4696,-0.0002425053181899,0,0,0,1.614662373148,2.716813796141,0,-1.78885344885,1.133496552291,3.785044386273,0.2908926066677,1.469318753741,6.107824393462,1221.885631701,-232.5171045959,0,0,172801.000,2099,0,0,930.8052681572
1100,-2589557.663688,-20762334.37063,16389808.41475,0,0,0,-1.788832735736,1.134222953062,20671329.8914,20744035.4885067,109010625.2833,-0.0002425053189758,0,0,0,1.614654931134,2.716799435226,0,-1.788832735736,1.133508002232,3.78507344855,0.2909078972954,1.469321240188,6.107805571688,1221.842749306,-232.5089443475,0,0,172801.100,2099,0,0,1030.805345715
1200,-2589416.049566,-20762182.84366,16390023.87684,0,0,0,-1.788812021873,1.134234334543,20671306.64069,20744012.2380127,109010503.1012,-0.0002425053197617,0,0,0,1.614647489501,2.716785074935,0,-1.788812021873,1.133519452081,3.78510251059,0.2909231843504,1.469323726627,6.107786749544,1221.799866911,-232.5007840991,0,0,172801.200,2099,0,0,1130.80542327
1300,-2589274.432822,-20762031.31544,16390239.33545,0,0,0,-1.788791307262,1.134245715929,20671283.3908,20743988.9883347,109010380.9234,-0.0002425053205476,0,0,0,1.614640048249,2.716770715267,0,-1.788791307262,1.133530901836,3.785131572394,0.2909384829417,1.469326213056,6.107767927029,1221.757004093,-232.492627576,0,0,172801.300,2099,0,0,1230.805500823
1400,-2589132.813456,-20761879.78599,16390454.79058,0,0,0,-1.788770591901,1.134257097218,20671260.14172,20743965.7394727,109010258.7498,-0.0002425053213335,0,0,0,1.61463260738,2.716756356224,0,-1.788770591901,1.133542351499,3.785160633961,0.2909537800406,1.469328699478,6.107749104143,1221.714141275,-232.4844710529,0,0,172801.400,2099,0,0,1330.805578373
