Elapsed Time (ms),ECEF X (m),ECEF Y (m),ECEF Z (m),ECEF Error X (m),ECEF Error Y (m),ECEF Error Z (m),Body Azimuth (rad),Body Elevation (rad),Range (m),PSR (m),ADR,Clock Correction (s),Clock Noise (m),Delta Af0 (s),Delta Af1 (s/s),Iono Correction (m),Tropo Correction (m),PSR Offset (m),Receiver Antenna Azimuth (rad),Receiver Antenna Elevation (rad),Receiver Antenna Gain (dBi),SV Antenna Azimuth (rad),SV Antenna Elevation (rad),Relative Power Level (incl. Receiver Antenna gain) (dB),Doppler Frequency (Hz),PSR Change Rate (m/s),Receiver Carrier Phase Offset (rad),Satellite Carrier Phase Offset (rad),GPS TOW,GPS Week Number,SBAS t0,Calibration offset (m),PSR satellite time (ms)
500,-3362995.714352,-28000723.36916,9012265.603443,0,0,0,-2.375222487453,0.8397389398923,24559743.40298,22901335.0420276,120347307.2062,0.005531872439846,0,0,0,1.971186593229,3.303944373306,0,-2.375222487453,0.8373224458659,1.168726150786,-1.973390731112,1.426706888761,4.24856115085,-1900.001266994,361.5582194179,0,0,172800.500,2099,0,0,423.6093689788
600,-3362997.968899,-28000814.60995,9011982.004036,0,0,0,-2.375232265571,0.8397288567058,24559779.55856,22901371.1982443,120347497.2082,0.005531872437869,0,0,0,1.971204742074,3.303974095003,0,-2.375232265571,0.8373123397821,1.16863693789,-1.973401165824,1.426705258519,4.248489777003,-1900.040850744,361.5657519549,0,0,172800.600,2099,0,0,523.6092483746
700,-3363000.224439,-28000905.8479,9011698.403246,0,0,0,-2.375242043386,0.8397187734385,24559815.71488,22901407.3552132,120347687.2141,0.005531872435891,0,0,0,1.971222891521,3.304003817807,0,-2.375242043386,0.8373022336184,1.168547724289,-1.973411588238,1.426703628279,4.248418402179,-1900.080356186,361.5732695907,0,0,172800.700,2099,0,0,623.6091277679
800,-3363002.480971,-28000997.08301,9011414.801071,0,0,0,-2.3752518209,0.8397086900902,24559851.87197,22901443.5129344,120347877.2241,0.005531872433914,0,0,0,1.97124104157,3.304033541717,0,-2.3752518209,0.8372921273748,1.168458509982,-1.973422011154,1.42670199804,4.248347026377,-1900.119861629,361.5807872266,0,0,172800.800,2099,0,0,723.6090071588
900,-3363004.738496,-28001088.31527,9011131.197511,0,0,0,-2.375261598113,0.8396986066612,24559888.0298,22901479.6714079,120348067.2379,0.005531872431937,0,0,0,1.971259192222,3.304063266734,0,-2.375261598113,0.8372820210512,1.16836929497,-1.973432437979,1.426700367802,4.248275649599,-1900.15937686,361.588306725,0,0,172800.900,2099,0,0,823.6088865471
1000,-3363006.997015,-28001179.54469,9010847.592568,0,0,0,-2.375271375023,0.8396885231513,24559924.18838,22901515.8306235,120348257.2558,0.00553187242996,0,0,0,1.971267292951,3.304092992858,0,-2.375271375023,0.8372719146478,1.168280079253,-1.973442864076,1.426698737565,4.248204271843,-1900.198960609,361.595839262,0,0,172801.000,2099,0,0,923.6087659329
1100,-3363009.256526,-28001270.77127,9010563.98624,0,0,0,-2.375281151632,0.8396784395606,24559960.34772,22901551.9906014,120348447.2776,0.005531872427983,0,0,0,1.971285444255,3.304122720089,0,-2.375281151632,0.8372618081645,1.16819086283,-1.973453299079,1.42669710733,4.24813289311,-1900.238485629,361.6033606231,0,0,172801.100,2099,0,0,1023.608645316
1200,-3363011.517029,-28001361.99499,9010280.378528,0,0,0,-2.375290927939,0.839668355889,24559996.50781,22901588.1513315,120348637.3033,0.005531872426006,0,0,0,1.971303596161,3.304152448427,0,-2.375290927939,0.8372517016012,1.168101645702,-1.973463705924,1.426695477096,4.248061513401,-1900.27800086,361.6108801216,0,0,172801.200,2099,0,0,1123.608524697
1300,-3363013.778526,-28001453.21588,9009996.769432,0,0,0,-2.375300703944,0.8396582721366,24560032.66865,22901624.3128137,120348827.333,0.005531872424029,0,0,0,1.97132174867,3.304182177871,0,-2.375300703944,0.8372415949581,1.168012427868,-1.973474137868,1.426693846864,4.247990132714,-1900.317516091,361.6183996201,0,0,172801.300,2099,0,0,1223.608404075
1400,-3363016.041015,-28001544.43392,9009713.158952,0,0,0,-2.375310479648,0.8396481883034,24560068.83025,22901660.4750482,120349017.3666,0.005531872422051,0,0,0,1.971339901781,3.304211908423,0,-2.375310479648,0.8372314882351,1.16792320933,-1.973484562992,1.426692216633,4.24791875105,-1900.357060687,361.6259247065,0,0,172801.400,2099,0,0,1323.608283451
1500,-3363018.304497,-28001635.64911,9009429.547088,0,0,0,-2.37532025505,0.8396381043894,24560104.99259,22901696.6380348,120349207.4042,0.005531872420074,0,0,0,1.971358055494,3.304241640081,0,-2.37532025505,0.8372213814323,1.167833990086,-1.973494987133,1.426690586403,4.247847368409,-1900.39656613,361.6334423423,0,0,172801.500,2099,0,0,1423.608162824
1600,-3363020.568971,-28001726.86146,9009145.93384,0,0,0,-2.375330030151,0.8396280203945,24560141.15569,22901732.8017737,120349397.4457,0.005531872418097,0,0,0,1.97137620981,3.304271372847,0,-2.375330030151,0.8372112745495,1.167744770138,-1.97350542006,1.426688956174,4.247775984791,-1900.436100938,361.640965566,0,0,172801.600,2099,0,0,1523.608042195
1700,-3363022.834438,-28001818.07096,9008862.319208,0,0,0,-2.375339804949,0.8396179363189,24560177.31954,22901768.9662646,120349587.4912,0.00553187241612,0,0,0,1.971394364728,3.304301106719,0,-2.375339804949,0.8372011675869,1.167655549484,-1.973515825687,1.426687325947,4.247704600196,-1900.475625957,361.6484869272,0,0,172801.700,2099,0,0,1623.607921563
1800,-3363025.100897,-28001909.27762,9008578.703193,0,0,0,-2.375349579447,0.8396078521625,24560213.48414,22901805.1315078,120349777.5407,0.005531872414143,0,0,0,1.971412520249,3.304330841699,0,-2.375349579447,0.8371910605445,1.167566328126,-1.973526258686,1.426685695721,4.247633214625,-1900.515160765,361.6560101509,0,0,172801.800,2099,0,0,1723.607800929
