Elapsed Time (ms),ECEF X (m),ECEF Y (m),ECEF Z (m),ECEF Error X (m),ECEF Error Y (m),ECEF Error Z (m),Body Azimuth (rad),Body Elevation (rad),Range (m),PSR (m),ADR,Clock Correction (s),Clock Noise (m),Delta Af0 (s),Delta Af1 (s/s),Iono Correction (m),Tropo Correction (m),PSR Offset (m),Receiver Antenna Azimuth (rad),Receiver Antenna Elevation (rad),Receiver Antenna Gain (dBi),SV Antenna Azimuth (rad),SV Antenna Elevation (rad),Relative Power Level (incl. Receiver Antenna gain) (dB),Doppler Frequency (Hz),PSR Change Rate (m/s),Receiver Carrier Phase Offset (rad),Satellite Carrier Phase Offset (rad),GPS TOW,GPS Week Number,SBAS t0,Calibration offset (m),PSR satellite time (ms)
500,-13979640.30329,-12962715.80553,22643616.69243,0,0,0,-1.036302248472,0.659661935804,25267530.81339,25419921.9341341,133582567.3564,-0.0005083010692525,0,0,0,2.285020321512,4.008768645232,0,-1.036302248472,0.6613759766193,-0.3158921802554,-0.8611265692403,1.399984285553,3.062443525168,958.7500172813,-182.444062084,0,0,172800.500,2099,0,0,415.2082674003
600,-13979624.55314,-12962942.60983,22643496.61321,0,0,0,-1.036313981408,0.6596661281709,25267512.56942,25419903.690162,133582471.4838,-0.0005083010693387,0,0,0,2.285010488147,4.008747129981,0,-1.036313981408,0.6613801351508,-0.3158564403098,-0.8611407835567,1.399984846568,3.062474094887,958.703366404,-182.4351847172,0,0,172800.600,2099,0,0,515.2083282557
700,-13979608.80489,-12963169.41305,22643376.53052,0,0,0,-1.036325714534,0.6596703203512,25267494.32634,25419885.4470778,133582375.6159,-0.000508301069425,0,0,0,2.285000655302,4.008725615988,0,-1.036325714534,0.6613842934949,-0.3158207019749,-0.861154993263,1.399985407561,3.062504663143,958.6566861619,-182.4263017625,0,0,172800.700,2099,0,0,615.208389108
800,-13979593.05854,-12963396.2152,22643256.44434,0,0,0,-1.036337447848,0.6596745123448,25267476.08415,25419867.2048814,133582279.7526,-0.0005083010695113,0,0,0,2.284990822977,4.008704103253,0,-1.036337447848,0.6613884516516,-0.3157849652507,-0.861169206353,1.399985968532,3.062535229936,958.6100450729,-182.4174262583,0,0,172800.800,2099,0,0,715.2084499575
900,-13979577.3141,-12963623.01628,22643136.35469,0,0,0,-1.036349181353,0.6596787041518,25267457.84285,25419848.9635729,133582183.894,-0.0005083010695975,0,0,0,2.284980991171,4.008682591776,0,-1.036349181353,0.6613926096209,-0.3157492301371,-0.8611834220595,1.399986529481,3.062565795266,958.5634137721,-182.4085526168,0,0,172800.900,2099,0,0,815.2085108039
1000,-13979561.57155,-12963849.81628,22643016.26155,0,0,0,-1.036360915046,0.6596828957722,25267439.60244,25419830.7231522,133582088.04,-0.0005083010696838,0,0,0,2.284971159885,4.008661081557,0,-1.036360915046,0.6613967674027,-0.3157134966344,-0.8611976410291,1.399987090408,3.062596359134,958.5167139535,-182.3996659368,0,0,172801.000,2099,0,0,915.2085716474
1100,-13979545.83092,-12964076.61521,22642896.16494,0,0,0,-1.036372648929,0.6596870872059,25267421.36291,25419812.4836194,133581992.1907,-0.0005083010697701,0,0,0,2.284961329119,4.008639572595,0,-1.036372648929,0.6614009249971,-0.3156777647425,-0.8612118584951,1.399987651313,3.062626921538,958.4700532879,-182.3907867074,0,0,172801.100,2099,0,0,1015.208632488
1200,-13979530.09218,-12964303.41307,22642776.06484,0,0,0,-1.036384383,0.659691278453,25267403.12427,25419794.2449746,133581896.3461,-0.0005083010698563,0,0,0,2.284951498872,4.008618064892,0,-1.036384383,0.6614050824041,-0.3156420344614,-0.8612260657101,1.399988212196,3.06265748248,958.4234415637,-182.3819167912,0,0,172801.200,2099,0,0,1115.208693326
1300,-13979514.35535,-12964530.20985,22642655.96127,0,0,0,-1.036396117262,0.6596954695134,25267384.88652,25419776.0072176,133581800.5062,-0.0005083010699426,0,0,0,2.284941669146,4.008596558447,0,-1.036396117262,0.6614092396237,-0.3156063057912,-0.8612402891858,1.399988773057,3.062688041958,958.376741745,-182.3730301112,0,0,172801.300,2099,0,0,1215.20875416
1400,-13979498.62042,-12964757.00556,22642535.85421,0,0,0,-1.036407851712,0.6596996603871,25267366.64965,25419757.7703485,133581704.6709,-0.0005083010700289,0,0,0,2.284931839939,4.008575053259,0,-1.036407851712,0.6614133966558,-0.3155705787319,-0.8612545047113,1.399989333896,3.062718599974,958.3300712912,-182.3641490191,0,0,172801.400,2099,0,0,1315.208814992
1500,-13979482.88739,-12964983.8002,22642415.74368,0,0,0,-1.036419586352,0.6597038510742,25267348.41368,25419739.5343673,133581608.8402,-0.0005083010701151,0,0,0,2.284922011251,4.008553549329,0,-1.036419586352,0.6614175535004,-0.3155348532834,-0.8612687266021,1.399989894713,3.062749156526,958.2834399904,-182.3552753776,0,0,172801.500,2099,0,0,1415.20887582
1600,-13979467.15627,-12965210.59376,22642295.62966,0,0,0,-1.03643132118,0.6597080415747,25267330.17859,25419721.299274,133581513.0143,-0.0005083010702014,0,0,0,2.284912183084,4.008532046657,0,-1.03643132118,0.6614217101577,-0.315499129446,-0.8612829419754,1.399990455508,3.062779711616,958.2367793249,-182.3463961482,0,0,172801.600,2099,0,0,1515.208936646
1700,-13979451.42705,-12965437.38625,22642175.51217,0,0,0,-1.036443056198,0.6597122318885,25267311.94439,25419703.0650687,133581417.193,-0.0005083010702877,0,0,0,2.284902355436,4.008510545243,0,-1.036443056198,0.6614258666275,-0.3154634072196,-0.8612971504493,1.399991016281,3.062810265243,958.1901284476,-182.3375187814,0,0,172801.700,2099,0,0,1615.208997469
1800,-13979435.69973,-12965664.17767,22642055.39119,0,0,0,-1.036454791406,0.6597164220156,25267293.71108,25419684.8317513,133581321.3764,-0.0005083010703739,0,0,0,2.284892528308,4.008489045087,0,-1.036454791406,0.6614300229098,-0.3154276866041,-0.8613113709345,1.399991577032,3.062840817406,958.1434579937,-182.3286376894,0,0,172801.800,2099,0,0,1715.209058289
1900,-13979419.97432,-12965890.96801,22641935.26674,0,0,0,-1.036466526802,0.659720611956,25267275.47865,25419666.5993218,133581225.5644,-0.0005083010704602,0,0,0,2.284882701699,4.008467546188,0,-1.036466526802,0.6614341790047,-0.3153919675998,-0.8613255872726,1.399992137761,3.062871368106,958.0967777516,-182.3197547346,0,0,172801.900,2099,0,0,1815.209119106
2000,-13979404.2508,-12966117.75728,22641815.13881,0,0,0,-1.036478262388,0.6597248017098,25267257.24712,25419648.3677803,133581129.7571,-0.0005083010705465,0,0,0,2.284872875611,4.008446048547,0,-1.036478262388,0.6614383349121,-0.3153562502065,-0.8613398108456,1.399992698468,3.062901917344,958.0500877213,-182.3108699173,0,0,172802.000,2099,0,0,1915.209179919
2100,-13979388.52919,-12966344.54548,22641695.00739,0,0,0,-1.036489998163,0.6597289912769,25267239.01647,25419630.1371267,133581033.9545,-0.0005083010706327,0,0,0,2.284863050042,4.008424552164,0,-1.036489998163,0.661442490632,-0.3153205344243,-0.8613540251058,1.399993259153,3.062932465118,958.0034662088,-182.3019981384,0,0,172802.100,2099,0,0,2015.20924073
2200,-13979372.80949,-12966571.3326,22641574.8725,0,0,0,-1.036501734127,0.6597331806573,25267220.78671,25419611.907361,133580938.1565,-0.000508301070719,0,0,0,2.284853224992,4.008403057038,0,-1.036501734127,0.6614466461645,-0.3152848202533,-0.8613682338151,1.399993819816,3.062963011429,957.9568153314,-182.2931207716,0,0,172802.200,2099,0,0,2115.209301538
2300,-13979357.09168,-12966798.11865,22641454.73413,0,0,0,-1.03651347028,0.659737369851,25267202.55784,25419593.6784833,133580842.3632,-0.0005083010708053,0,0,0,2.284843400463,4.00838156317,0,-1.03651347028,0.6614508015096,-0.3152491076935,-0.8613824540778,1.399994380457,3.062993556277,957.9101350893,-182.2842378169,0,0,172802.300,2099,0,0,2215.209362343
2400,-13979341.37578,-12967024.90362,22641334.59227,0,0,0,-1.036525206623,0.659741558858,25267184.32985,25419575.4504936,133580746.5746,-0.0005083010708915,0,0,0,2.284833576453,4.00836007056,0,-1.036525206623,0.6614549566671,-0.3152133967449,-0.861396672135,1.399994941076,3.063024099662,957.863484212,-182.2753604501,0,0,172802.400,2099,0,0,2315.209423145
2500,-13979325.66178,-12967251.68753,22641214.44694,0,0,0,-1.036536943155,0.6597457476783,25267166.10276,25419557.2233919,133580650.7906,-0.0005083010709778,0,0,0,2.284823752963,4.008338579207,0,-1.036536943155,0.6614591116372,-0.3151776874076,-0.8614109005703,1.399995501674,3.063054641584,957.8168137582,-182.2664793581,0,0,172802.500,2099,0,0,2415.209483944
2600,-13979309.94969,-12967478.47035,22641094.29813,0,0,0,-1.036548679876,0.659749936312,25267147.87655,25419538.9971781,133580555.0113,-0.000508301071064,0,0,0,2.284813929992,4.008317089111,0,-1.036548679876,0.6614632664198,-0.3151419796815,-0.8614251122843,1.399996062249,3.063085182042,957.7701530926,-182.2576001287,0,0,172802.600,2099,0,0,2515.209544741
2700,-13979294.23949,-12967705.25211,22640974.14584,0,0,0,-1.036560416786,0.6597541247589,25267129.65123,25419520.7718524,133580459.2367,-0.0005083010711503,0,0,0,2.284804107541,4.008295600273,0,-1.036560416786,0.6614674210149,-0.3151062735668,-0.8614393254534,1.399996622802,3.063115721038,957.7234826388,-182.2487190366,0,0,172802.700,2099,0,0,2615.209605534
2800,-13979278.5312,-12967932.03278,22640853.99007,0,0,0,-1.036572153885,0.6597583130191,25267111.4268,25419502.5474146,133580363.4667,-0.0005083010712366,0,0,0,2.28479428561,4.008274112693,0,-1.036572153885,0.6614715754225,-0.3150705690634,-0.8614535473983,1.399997183333,3.06314625857,957.6768219732,-182.2398398072,0,0,172802.800,2099,0,0,2715.209666324
2900,-13979262.82481,-12968158.81239,22640733.83082,0,0,0,-1.036583891174,0.6597625010926,25267093.20325,25419484.3238648,133580267.7014,-0.0005083010713228,0,0,0,2.284784464199,4.00825262637,0,-1.036583891174,0.6614757296426,-0.3150348661713,-0.8614677660112,1.399997743842,3.063176794639,957.6301319429,-182.2309549898,0,0,172802.900,2099,0,0,2815.209727111
3000,-13979247.12033,-12968385.59092,22640613.66809,0,0,0,-1.036595628651,0.6597666889794,25267074.9806,25419466.101203,133580171.9408,-0.0005083010714091,0,0,0,2.284774643307,4.008231141305,0,-1.036595628651,0.6614798836752,-0.3149991648907,-0.8614819928315,1.399998304329,3.063207329244,957.5835104304,-182.2220832109,0,0,172803.000,2099,0,0,2915.209787895
3100,-13979231.41775,-12968612.36838,22640493.50188,0,0,0,-1.036607366318,0.6597708766795,25267056.75883,25419447.8794293,133580076.1848,-0.0005083010714954,0,0,0,2.284764822935,4.008209657497,0,-1.036607366318,0.6614840375204,-0.3149634652215,-0.8614962077553,1.399998864794,3.063237862387,957.5368497648,-182.2132039815,0,0,172803.100,2099,0,0,3015.209848677
3200,-13979215.71706,-12968839.14476,22640373.33219,0,0,0,-1.036619104174,0.6597750641928,25267038.53795,25419429.6585435,133579980.4335,-0.0005083010715816,0,0,0,2.284755003083,4.008188174946,0,-1.036619104174,0.661488191178,-0.3149277671639,-0.861510418437,1.399999425237,3.063268394066,957.4901401579,-182.2043154389,0,0,172803.200,2099,0,0,3115.209909455
3300,-13979200.01829,-12969065.92007,22640253.15902,0,0,0,-1.036630842219,0.6597792515195,25267020.31795,25419411.4385458,133579884.6869,-0.0005083010716679,0,0,0,2.28474518375,4.008166693653,0,-1.036630842219,0.6614923446481,-0.3148920707177,-0.8615246426251,1.399999985657,3.063298924282,957.4434990689,-182.1954399347,0,0,172803.300,2099,0,0,3215.20997023
3400,-13979184.32141,-12969292.6943,22640132.98237,0,0,0,-1.036642580453,0.6597834386594,25267002.09885,25419393.2194361,133579788.945,-0.0005083010717542,0,0,0,2.284735364937,4.008145213617,0,-1.036642580453,0.6614964979307,-0.314856375883,-0.8615388601843,1.400000546056,3.063329453035,957.3968188268,-182.18655698,0,0,172803.400,2099,0,0,3315.210031003
3500,-13979168.62644,-12969519.46746,22640012.80224,0,0,0,-1.036654318877,0.6597876256125,25266983.88063,25419375.0012145,133579693.2077,-0.0005083010718404,0,0,0,2.284725546644,4.008123734838,0,-1.036654318877,0.6615006510258,-0.3148206826599,-0.8615530894403,1.400001106433,3.063359980324,957.3501483729,-182.1776758879,0,0,172803.500,2099,0,0,3415.210091772
3600,-13979152.93337,-12969746.23955,22639892.61863,0,0,0,-1.036666057489,0.659791812379,25266965.66331,25419356.7838809,133579597.475,-0.0005083010719267,0,0,0,2.28471572887,4.008102257317,0,-1.036666057489,0.6615048039334,-0.3147849910484,-0.8615672991997,1.400001666788,3.06339050615,957.3035170721,-182.1688022465,0,0,172803.600,2099,0,0,3515.210152539
3700,-13979137.2422,-12969973.01056,22639772.43154,0,0,0,-1.036677796291,0.6597959989587,25266947.44687,25419338.5674353,133579501.7471,-0.000508301072013,0,0,0,2.284705911616,4.008080781052,0,-1.036677796291,0.6615089566534,-0.3147493010486,-0.8615815143138,1.400002227121,3.063421030512,957.25683683,-182.1599192917,0,0,172803.700,2099,0,0,3615.210213302
3800,-13979121.55294,-12970199.7805,22639652.24098,0,0,0,-1.036689535282,0.6598001853516,25266929.23131,25419320.3518778,133579406.0238,-0.0005083010720992,0,0,0,2.284696094882,4.008059306045,0,-1.036689535282,0.6615131091859,-0.3147136126604,-0.8615957383635,1.400002787432,3.063451553411,957.2101272231,-182.1510307491,0,0,172803.800,2099,0,0,3715.210274063
3900,-13979105.86558,-12970426.54936,22639532.04693,0,0,0,-1.036701274462,0.6598043715578,25266911.01665,25419302.1372084,133579310.3051,-0.0005083010721855,0,0,0,2.284686278667,4.008037832296,0,-1.036701274462,0.6615172615309,-0.314677925884,-0.8616099534141,1.400003347721,3.063482074847,957.1634763458,-182.1421533823,0,0,172803.900,2099,0,0,3815.21033482
4000,-13979090.18012,-12970653.31715,22639411.84941,0,0,0,-1.036713013831,0.6598085575773,25266892.80287,25419283.9234271,133579214.5912,-0.0005083010722718,0,0,0,2.284676462972,4.008016359803,0,-1.036713013831,0.6615214136884,-0.3146422407192,-0.8616241822073,1.400003907988,3.063512594819,957.1168254685,-182.1332760155,0,0,172804.000,2099,0,0,3915.210395575
4100,-13979074.49656,-12970880.08386,22639291.6484,0,0,0,-1.036724753389,0.65981274341,25266874.58999,25419265.7105338,133579118.8819,-0.000508301072358,0,0,0,2.284666647797,4.007994888568,0,-1.036724753389,0.6615255656583,-0.3146065571662,-0.8616383941984,1.400004468232,3.063543113328,957.0701550147,-182.1243949234,0,0,172804.100,2099,0,0,4015.210456327
4200,-13979058.8149,-12971106.8495,22639171.44392,0,0,0,-1.036736493137,0.6598169290559,25266856.37799,25419247.4985286,133579023.1772,-0.0005083010724443,0,0,0,2.284656833141,4.007973418589,0,-1.036736493137,0.6615297174407,-0.3145708752251,-0.8616526107536,1.400005028455,3.063573630374,957.0234943491,-182.115515694,0,0,172804.200,2099,0,0,4115.210517075
4300,-13979043.13515,-12971333.61406,22639051.23595,0,0,0,-1.036748233073,0.6598211145151,25266838.16687,25419229.2874115,133578927.4773,-0.0005083010725306,0,0,0,2.284647019005,4.007951949868,0,-1.036748233073,0.6615338690355,-0.3145351948957,-0.8616668354273,1.400005588656,3.063604145956,956.9768043188,-182.1066308767,0,0,172804.300,2099,0,0,4215.210577821
4400,-13979027.4573,-12971560.37755,22638931.02451,0,0,0,-1.036759973198,0.6598252997875,25266819.95665,25419211.0771825,133578831.782,-0.0005083010726168,0,0,0,2.284637205389,4.007930482404,0,-1.036759973198,0.6615380204428,-0.3144995161782,-0.8616810557412,1.400006148835,3.063634660075,956.9301338649,-182.0977497846,0,0,172804.400,2099,0,0,4315.210638564
4500,-13979011.78135,-12971787.13996,22638810.80959,0,0,0,-1.036771713513,0.6598294848731,25266801.74732,25419192.8678416,133578736.0914,-0.0005083010727031,0,0,0,2.284627392292,4.007909016197,0,-1.036771713513,0.6615421716625,-0.3144638390726,-0.8616952886065,1.400006708991,3.06366517273,956.8834829876,-182.0888724178,0,0,172804.500,2099,0,0,4415.210699304
4600,-13978996.10731,-12972013.9013,22638690.59119,0,0,0,-1.036783454017,0.659833669772,25266783.53887,25419174.6593888,133578640.4054,-0.0005083010727894,0,0,0,2.284617579715,4.007887551247,0,-1.036783454017,0.6615463226947,-0.3144281635789,-0.8617094986687,1.400007269126,3.063695683921,956.8368223221,-182.0799931884,0,0,172804.600,2099,0,0,4515.210760041
4700,-13978980.43517,-12972240.66157,22638570.36931,0,0,0,-1.03679519471,0.6598378544841,25266765.33131,25419156.4518241,133578544.7241,-0.0005083010728756,0,0,0,2.284607767658,4.007866087553,0,-1.03679519471,0.6615504735393,-0.3143924896972,-0.8617237162808,1.400007829239,3.063726193649,956.7901714448,-182.0711158216,0,0,172804.700,2099,0,0,4615.210820774
4800,-13978964.76493,-12972467.42075,22638450.14394,0,0,0,-1.036806935592,0.6598420390094,25266747.12464,25419138.2451476,133578449.0475,-0.0005083010729619,0,0,0,2.28459795612,4.007844625117,0,-1.036806935592,0.6615546241964,-0.3143568174275,-0.8617379395454,1.400008389329,3.063756701914,956.7434128965,-182.0622179657,0,0,172804.800,2099,0,0,4715.210881505
4900,-13978949.09659,-12972694.17887,22638329.91511,0,0,0,-1.036818676662,0.6598462233479,25266728.91885,25419120.0393592,133578353.3755,-0.0005083010730481,0,0,0,2.284588145102,4.007823163938,0,-1.036818676662,0.6615587746659,-0.3143211467697,-0.8617521659668,1.400008949398,3.063787208715,956.6968011723,-182.0533480495,0,0,172804.900,2099,0,0,4815.210942233
5000,-13978933.43015,-12972920.93591,22638209.68279,0,0,0,-1.036830417923,0.6598504074997,25266710.71396,25419101.8344589,133578257.7082,-0.0005083010731344,0,0,0,2.284578334604,4.007801704016,0,-1.036830417923,0.6615629249478,-0.3142854777241,-0.8617663903827,1.400009509445,3.063817714052,956.6501209302,-182.0444650948,0,0,172805.000,2099,0,0,4915.211002958
5100,-13978917.76562,-12973147.69187,22638089.44699,0,0,0,-1.036842159372,0.6598545914646,25266692.50995,25419083.6304467,133578162.0456,-0.0005083010732207,0,0,0,2.284568524625,4.00778024535,0,-1.036842159372,0.6615670750422,-0.3142498102905,-0.8617806040037,1.400010069469,3.063848217926,956.6034406881,-182.0355821401,0,0,172805.100,2099,0,0,5015.21106368
5200,-13978902.10299,-12973374.44676,22637969.20771,0,0,0,-1.03685390101,0.6598587752428,25266674.30683,25419065.4273228,133578066.3876,-0.0005083010733069,0,0,0,2.284558715165,4.007758787942,0,-1.03685390101,0.6615712249489,-0.314214144469,-0.8617948239,1.400010629472,3.063878720336,956.5567702342,-182.026701048,0,0,172805.200,2099,0,0,5115.2111244
5300,-13978886.44226,-12973601.20057,22637848.96495,0,0,0,-1.036865642837,0.6598629588341,25266656.1046,25419047.2250869,133577970.7343,-0.0005083010733932,0,0,0,2.284548906226,4.00773733179,0,-1.036865642837,0.6615753746681,-0.3141784802597,-0.8618090450686,1.400011189452,3.063909221283,956.5100606273,-182.0178125054,0,0,172805.300,2099,0,0,5215.211185116
5400,-13978870.78343,-12973827.95331,22637728.71872,0,0,0,-1.036877384853,0.6598671422387,25266637.90326,25419029.0237393,133577875.0857,-0.0005083010734795,0,0,0,2.284539097806,4.007715876895,0,-1.036877384853,0.6615795241997,-0.3141428176626,-0.8618232716858,1.40001174941,3.063939720766,956.4634195383,-182.0089370012,0,0,172805.400,2099,0,0,5315.211245829
5500,-13978855.12651,-12974054.70497,22637608.469,0,0,0,-1.036889127059,0.6598713254564,25266619.70281,25419010.8232797,133577779.4418,-0.0005083010735657,0,0,0,2.284529289906,4.007694423257,0,-1.036889127059,0.6615836735437,-0.3141071566777,-0.8618374986757,1.400012309347,3.063970218785,956.4167784493,-182.0000614971,0,0,172805.500,2099,0,0,5415.211306539
5600,-13978839.47149,-12974281.45556,22637488.21581,0,0,0,-1.036900869453,0.6598755084873,25266601.50324,25418992.6237084,133577683.8025,-0.000508301073652,0,0,0,2.284519482525,4.007672970875,0,-1.036900869453,0.6615878227001,-0.314071497305,-0.8618517110369,1.400012869261,3.064000715341,956.3700884189,-181.9911766797,0,0,172805.600,2099,0,0,5515.211367246
5700,-13978823.81837,-12974508.20507,22637367.95914,0,0,0,-1.036912612037,0.6598796913314,25266583.30456,25418974.4250253,133577588.1678,-0.0005083010737383,0,0,0,2.284509675664,4.00765151975,0,-1.036912612037,0.6615919716689,-0.3140358395446,-0.8618659299676,1.400013429154,3.064031210433,956.3234081768,-181.982293725,0,0,172805.700,2099,0,0,5615.211427951
5800,-13978808.16715,-12974734.95351,22637247.69899,0,0,0,-1.036924354809,0.6598838739887,25266565.10677,25418956.2272303,133577492.5379,-0.0005083010738245,0,0,0,2.284499869322,4.007630069882,0,-1.036924354809,0.6615961204502,-0.3140001833965,-0.8618801554213,1.400013989024,3.064061704061,956.2766985699,-181.9734051824,0,0,172805.800,2099,0,0,5715.211488652
5900,-13978792.51784,-12974961.70087,22637127.43535,0,0,0,-1.036936097771,0.6598880564592,25266546.90987,25418938.0303236,133577396.9126,-0.0005083010739108,0,0,0,2.2844900635,4.007608621271,0,-1.036936097771,0.6616002690438,-0.3139645288608,-0.8618943861788,1.400014548872,3.064092196226,956.2300183278,-181.9645222276,0,0,172805.900,2099,0,0,5815.21154935
6000,-13978776.87042,-12975188.44715,22637007.16824,0,0,0,-1.036947840921,0.6598922387429,25266528.71386,25418919.834305,133577301.292,-0.0005083010739971,0,0,0,2.284480258198,4.007587173916,0,-1.036947840921,0.6616044174498,-0.3139288759374,-0.8619086133215,1.400015108698,3.064122686927,956.1833576622,-181.9556429982,0,0,172806.000,2099,0,0,5915.211610046
6100,-13978761.22491,-12975415.19236,22636886.89766,0,0,0,-1.036959584261,0.6598964208397,25266510.51874,25418901.6391747,133577205.676,-0.0005083010740833,0,0,0,2.284470453416,4.007565727818,0,-1.036959584261,0.6616085656682,-0.3138932246264,-0.8619228254611,1.400015668503,3.064153176164,956.1366872084,-181.9467619061,0,0,172806.100,2099,0,0,6015.211670738
