Elapsed Time (ms),ECEF X (m),ECEF Y (m),ECEF Z (m),ECEF Error X (m),ECEF Error Y (m),ECEF Error Z (m),Body Azimuth (rad),Body Elevation (rad),Range (m),PSR (m),ADR,Clock Correction (s),Clock Noise (m),Delta Af0 (s),Delta Af1 (s/s),Iono Correction (m),Tropo Correction (m),PSR Offset (m),Receiver Antenna Azimuth (rad),Receiver Antenna Elevation (rad),Receiver Antenna Gain (dBi),SV Antenna Azimuth (rad),SV Antenna Elevation (rad),Relative Power Level (incl. Receiver Antenna gain) (dB),Doppler Frequency (Hz),PSR Change Rate (m/s),Receiver Carrier Phase Offset (rad),Satellite Carrier Phase Offset (rad),GPS TOW,GPS Week Number,SBAS t0,Calibration offset (m),PSR satellite time (ms)
500,-13098369.31897,-21515258.75756,15527017.72793,0,0,0,-1.615421617631,0.7181282521916,25009166.90579,24403367.3706006,128240538.4285,0.002020749389568,0,0,0,2.155704962405,3.735610996962,0,-1.615421617631,0.7179833487968,0.16800651275,0.2804373809751,1.408031155982,3.469226704454,1696.758791529,-322.8824622929,0,0,172800.500,2099,0,0,418.5991284324
600,-13098247.01813,-21515161.34143,15527256.06609,0,0,0,-1.615410870466,0.718136136254,25009134.62381,24403335.0824933,128240368.7535,0.002020749409855,0,0,0,2.155688558338,3.73557750325,0,-1.615410870466,0.7179912689999,0.1680723453242,0.2804418846909,1.408032287785,3.469279960135,1696.742435336,-322.8793498129,0,0,172800.600,2099,0,0,518.5992361339
700,-13098124.71456,-21515063.92492,15527494.40187,0,0,0,-1.615400123236,0.7181440203073,25009102.34214,24403302.7946963,128240199.0801,0.002020749430143,0,0,0,2.155672154563,3.735544010407,0,-1.615400123236,0.717999189194,0.1681381778241,0.2804463845189,1.408033419595,3.469333215467,1696.726177025,-322.8762559593,0,0,172800.700,2099,0,0,618.5993438344
800,-13098002.40825,-21514966.50803,15527732.73525,0,0,0,-1.615389375943,0.7181519043514,25009070.06079,24403270.5072096,128240029.4084,0.00202074945043,0,0,0,2.15565575108,3.735510518432,0,-1.615389375943,0.7180071093792,0.1682040102496,0.2804508795357,1.408034551415,3.469386470448,1696.709840409,-322.8731472045,0,0,172800.800,2099,0,0,718.5994515339
900,-13097880.09919,-21514869.09076,15527971.06625,0,0,0,-1.615378628586,0.7181597883862,25009037.77975,24403238.2200333,128239859.7383,0.002020749470718,0,0,0,2.15563934789,3.735477027327,0,-1.615378628586,0.7180150295554,0.1682698426007,0.2804553739917,1.408035683243,3.469439725079,1696.693552734,-322.870047763,0,0,172800.900,2099,0,0,818.5995592323
1000,-13097757.7874,-21514771.6731,15528209.39486,0,0,0,-1.615367881164,0.718167672412,25009005.49901,24403205.9331672,128239690.0699,0.002020749491005,0,0,0,2.155622944991,3.735443537091,0,-1.615367881164,0.7180229497227,0.1683356748775,0.2804598800148,1.40803681508,3.469492979359,1696.677245482,-322.8669445962,0,0,172801.000,2099,0,0,918.5996669297
1100,-13097635.47287,-21514674.25507,15528447.72107,0,0,0,-1.615357133678,0.7181755564285,25008973.21859,24403173.6466115,128239520.4031,0.002020749511292,0,0,0,2.155606542385,3.735410047723,0,-1.615357133678,0.7180308698811,0.1684015070798,0.2804643801651,1.408037946925,3.46954623329,1696.66093823,-322.8638414294,0,0,172801.100,2099,0,0,1018.599774626
1200,-13097513.1556,-21514576.83665,15528686.0449,0,0,0,-1.615346386129,0.7181834404358,25008940.93847,24403141.360366,128239350.7379,0.00202074953158,0,0,0,2.155590140072,3.735376559225,0,-1.615346386129,0.7180387900305,0.1684673392078,0.2804688704061,1.408039078779,3.469599486871,1696.644660343,-322.8607438505,0,0,172801.200,2099,0,0,1118.599882321
1300,-13097390.83559,-21514479.41784,15528924.36634,0,0,0,-1.615335638515,0.718191324434,25008908.65867,24403109.0744309,128239181.0743,0.002020749551867,0,0,0,2.15557373805,3.735343071595,0,-1.615335638515,0.7180467101709,0.1685331712614,0.2804733852479,1.408040210642,3.469652740101,1696.628353092,-322.8576406837,0,0,172801.300,2099,0,0,1218.599990016
1400,-13097268.51284,-21514381.99866,15529162.68539,0,0,0,-1.615324890837,0.718199208423,25008876.37918,24403076.7888061,128239011.4124,0.002020749572154,0,0,0,2.155557336321,3.735309584835,0,-1.615324890837,0.7180546303024,0.1685990032406,0.2804778748156,1.408041342513,3.469705992981,1696.612036052,-322.8545356542,0,0,172801.400,2099,0,0,1318.600097709
